Filename,Upper left,Lower left,Upper right,Lower right,Center
2d41effd-fa83-4468-b3c5-4a410f0a9dd9_left.tif,"-111.9748266,33.0757389","-111.9748266,33.0757289","-111.9748177,33.0757389","-111.9748177,33.0757289","-111.9748222,33.0757339"
b54db711-596e-446a-980c-ca782827b4a4_left.tif,"-111.9748211,33.0757389","-111.9748211,33.0757289","-111.9748123,33.0757389","-111.9748123,33.0757289","-111.9748167,33.0757339"
09df991c-fcb2-45c7-ac29-c124e00bde80_left.tif,"-111.9748166,33.0757389","-111.9748166,33.0757288","-111.9748078,33.0757389","-111.9748078,33.0757288","-111.9748122,33.0757338"
99df6141-05d7-49e6-b99f-a9b1db02be2b_left.tif,"-111.9750548,33.0757473","-111.9750548,33.0757372","-111.9750459,33.0757473","-111.9750459,33.0757372","-111.9750503,33.0757422"
a58cb01e-266f-48d8-9437-13f25bb3362e_left.tif,"-111.9750500,33.0757473","-111.9750500,33.0757372","-111.9750412,33.0757473","-111.9750412,33.0757372","-111.9750456,33.0757423"
ccdc0a9e-3a61-45e3-aa94-64fbbf2cac7f_left.tif,"-111.9750449,33.0757473","-111.9750449,33.0757372","-111.9750361,33.0757473","-111.9750361,33.0757372","-111.9750405,33.0757423"
d7a23dbf-0441-43d5-b16c-6b4596767be1_left.tif,"-111.9750395,33.0757473","-111.9750395,33.0757372","-111.9750306,33.0757473","-111.9750306,33.0757372","-111.9750350,33.0757423"
9415aa76-81c4-43e9-befa-0a0c04ba79ed_left.tif,"-111.9750339,33.0757473","-111.9750339,33.0757372","-111.9750251,33.0757473","-111.9750251,33.0757372","-111.9750295,33.0757423"
52aaef70-a143-4d64-a339-309ed5e7b36d_left.tif,"-111.9750284,33.0757473","-111.9750284,33.0757372","-111.9750196,33.0757473","-111.9750196,33.0757372","-111.9750240,33.0757423"
3314533c-b199-4c76-b6fc-979787bce5cd_left.tif,"-111.9750233,33.0757473","-111.9750233,33.0757373","-111.9750145,33.0757473","-111.9750145,33.0757373","-111.9750189,33.0757423"
a990461f-20f7-43f9-8ed7-4e4a36297100_left.tif,"-111.9750184,33.0757477","-111.9750184,33.0757377","-111.9750096,33.0757477","-111.9750096,33.0757377","-111.9750140,33.0757427"
54add9a5-462d-4b3f-a7cd-cdb75e36e6c6_left.tif,"-111.9750122,33.0757477","-111.9750122,33.0757377","-111.9750034,33.0757477","-111.9750034,33.0757377","-111.9750078,33.0757427"
90ac92dc-a5f6-44f9-b939-1351763cd93d_left.tif,"-111.9750067,33.0757477","-111.9750067,33.0757377","-111.9749979,33.0757477","-111.9749979,33.0757377","-111.9750023,33.0757427"
